aX,aY,aZ,gX,gY,gZ
-0.899,-0.359,-0.282,-1.770,3.479,1.465
-0.891,-0.367,-0.277,-1.038,4.333,2.686
-0.883,-0.371,-0.271,-1.160,4.822,3.296
-0.876,-0.375,-0.267,-1.404,4.944,2.930
-0.875,-0.371,-0.273,-1.587,4.700,2.380

0.103,0.409,2.194,-7.507,-73.303,-4.578
0.079,0.429,2.304,4.944,-97.595,2.686
0.083,0.452,2.359,27.039,-121.277,14.099
0.119,0.464,2.367,53.406,-140.564,27.710
0.178,0.469,2.386,75.928,-155.273,41.321
0.211,0.443,2.399,88.745,-168.823,52.795
0.241,0.407,2.409,91.064,-187.622,59.326
0.267,0.380,2.401,87.891,-211.609,62.439
0.304,0.379,2.385,84.290,-236.938,64.514
0.350,0.377,2.370,84.167,-260.315,67.566
0.388,0.364,2.335,87.341,-280.579,70.679
0.394,0.351,2.251,94.849,-298.279,75.867
0.385,0.313,2.125,107.971,-316.101,81.482
0.366,0.291,1.973,123.840,-333.557,87.280
0.361,0.270,1.832,140.747,-348.816,93.018
0.315,0.234,1.642,154.480,-362.915,97.595
0.278,0.211,1.434,164.795,-377.930,101.868
0.296,0.183,1.251,171.936,-393.372,106.079
0.318,0.144,1.099,174.133,-407.532,106.995
0.349,0.098,0.952,172.913,-418.762,104.675
0.365,0.047,0.798,171.753,-425.415,100.159
0.368,0.025,0.606,171.753,-429.077,93.811
0.402,-0.000,0.390,175.354,-431.396,87.952
0.462,-0.042,0.201,179.993,-430.359,83.984
0.500,-0.072,0.075,181.030,-423.950,79.651
0.481,-0.067,-0.081,177.979,-415.222,70.984
0.497,-0.078,-0.242,176.697,-408.630,58.594
0.519,-0.097,-0.405,173.340,-401.367,46.082
